policy_id,demand_pattern,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,cost
0.0,0.0,210.0,270.0,229.0,248.0,267.0,53.0,38.0,27.0,90.0,30.0,117.0,27.0,19.0,15.0,443.69850000000014
1.0,0.0,211.0,284.0,244.0,256.0,289.0,57.0,39.0,27.0,95.0,30.0,120.0,28.0,19.0,15.0,438.51999999999975
2.0,0.0,226.0,291.0,231.0,257.0,273.0,55.0,40.0,27.0,98.0,30.0,123.0,28.0,19.0,15.0,441.06949999999983
3.0,0.0,216.0,279.0,248.0,263.0,288.0,57.0,40.0,28.0,96.0,32.0,119.0,27.0,19.0,15.0,411.74349999999976
4.0,0.0,226.0,293.0,247.0,265.0,292.0,54.0,40.0,27.0,90.0,31.0,119.0,28.0,19.0,15.0,433.2064999999998
5.0,0.0,222.0,272.0,246.0,251.0,290.0,53.0,40.0,27.0,94.0,32.0,126.0,27.0,19.0,15.0,433.1360000000001
6.0,0.0,221.0,291.0,250.0,258.0,275.0,53.0,39.0,27.0,90.0,30.0,122.0,27.0,19.0,15.0,434.1039999999999
7.0,0.0,213.0,289.0,237.0,257.0,273.0,56.0,39.0,27.0,96.0,30.0,118.0,27.0,19.0,15.0,421.8230000000001
8.0,0.0,221.0,284.0,240.0,264.0,271.0,53.0,39.0,27.0,98.0,31.0,121.0,27.0,19.0,15.0,467.7215000000005
9.0,0.0,213.0,284.0,231.0,257.0,276.0,53.0,40.0,27.0,94.0,31.0,117.0,28.0,19.0,15.0,430.74999999999994
10.0,0.0,222.0,294.0,242.0,266.0,279.0,57.0,40.0,27.0,92.0,32.0,119.0,27.0,19.0,15.0,403.69999999999993
11.0,0.0,217.0,282.0,235.0,264.0,268.0,57.0,38.0,27.0,97.0,30.0,127.0,27.0,19.0,15.0,407.13549999999987
12.0,0.0,223.0,293.0,247.0,256.0,282.0,55.0,40.0,27.0,97.0,31.0,121.0,28.0,19.0,15.0,418.8115
13.0,0.0,225.0,282.0,229.0,263.0,291.0,55.0,40.0,27.0,97.0,31.0,119.0,27.0,19.0,15.0,419.79350000000005
14.0,0.0,223.0,287.0,249.0,262.0,276.0,53.0,38.0,28.0,96.0,31.0,117.0,28.0,19.0,15.0,449.56750000000017
